reading_date	week_id	sort_order	meter_id	b_code	floor	subb_code	building_name	raw_reading	raw_unit	reader	note
2026-05-15	2026-W20	1	EGAT__FL01__Main	EGAT	FL01	Main	มิเตอร์รวมทั้งหมด		MWh		
2026-05-15	2026-W20	2	EGAT__FL01__Main2	EGAT	FL01	Main2	มิเตอร์รวม เฟส 1		kWh		
2026-05-15	2026-W20	3	T.0006__FL01__MDB	T.0006	FL01	MDB	ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.	5.573	MWh		
2026-05-15	2026-W20	4	T.0007__FL01__MDB	T.0007	FL01	MDB	ท.0007 อาคาร กองบริหาร ชธธ.	17.015	MWh		
2026-05-15	2026-W20	5	T.0008__FL01__MDB	T.0008	FL01	MDB	ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.	2.0911	kWh		
2026-05-15	2026-W20	6	T.0009__FL01__MDB	T.0009	FL01	MDB	ท.0009 อาคาร ปฏิบัติการพิเศษ		MWh		
2026-05-15	2026-W20	7	T.0010__FL01__MDB	T.0010	FL01	MDB	ท.0010 อาคาร ทดสอบเครื่องกล อรอ.	77.598	kWh		
2026-05-15	2026-W20	8	T.0011__FL01__MDB	T.0011	FL01	MDB	ท.0011 อาคาร เครื่องมือ อบค.		kWh		
2026-05-15	2026-W20	9	T.0012__FL01__MDB	T.0012	FL01	MDB	ท.0012 อาคาร บำรุงรักษาเครื่องกล อบค.	312939.85	kWh		
2026-05-15	2026-W20	10	D.0026__FL01__MDB	D.0026	FL01	MDB	ต.0026 อาคารระบบประปา	6500.88	kWh		
2026-05-15	2026-W20	11	D.0017__FL01__MDB	D.0017	FL01	MDB	ต.0017 อาคาร โรงอาหาร	9363.81	kWh		
2026-05-15	2026-W20	12	D.0017__FL01__ร้านค้า_1	D.0017	FL01	ร้านค้า 1	ต.0017 ร้านอาหาร 1 (จ๊ายตี๋)	9319	kWh		
2026-05-15	2026-W20	13	D.0017__FL01__ร้านค้า_2	D.0017	FL01	ร้านค้า 2	ต.0017 ร้านอาหาร 2 (ก๋วยเตี๋ยวสะบัดเส้น)	5182	kWh		
2026-05-15	2026-W20	14	D.0017__FL01__ร้านค้า_3	D.0017	FL01	ร้านค้า 3	ต.0017 ร้านอาหาร 3 (ร้านอาหารไม่ปิด)		kWh		
2026-05-15	2026-W20	15	D.0017__FL01__ร้านค้า_4	D.0017	FL01	ร้านค้า 4	ต.0017 ตู้ ATM ธนาคารกรุงไทย	2196	kWh		
2026-05-15	2026-W20	16	D.0017__FL01__ร้านค้า_5	D.0017	FL01	ร้านค้า 5	ต.0017 ร้านกาแฟ ใหม่	1886	kWh		
2026-05-15	2026-W20	17	T.0014__FL01__MDB	T.0014	FL01	MDB	ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา	425461	kWh		
2026-05-15	2026-W20	18	T.0015__FL01__MDB	T.0015	FL01	MDB	ท.0015 อาคาศูนย์ปฏิบัติการทดสอบเคมี 2	538249	kWh		
2026-05-15	2026-W20	19	T.0016__FL01__MDB	T.0016	FL01	MDB	ท.0016 อาคารปฏิบัติการเคมี 1 อคม.		kWh		
